Player,year,length,avg_salary,cap,poc,Pos,Age,Tm,G,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,TS.,X3PAr,FTr,USG.,OWS,DWS,OBPM,DBPM
Nerlens Noel,2017,1,4187599,99093000,0.042259281684881876,C,22,TOT,51,3.6,6.1,0.595,0,0,0,1.5,2.2,0.694,1.8,3.9,5.8,1,1.3,1,1,8.7,0.622,0.003,0.359,17.6,2.1,1.9,0.1,2.3
JaVale McGee,2017,1,1471382,99093000,0.014848495857426862,C,29,GSW,77,2.7,4.1,0.652,0,0,0,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,6.1,0.642,0.009,0.348,23.8,2,1.5,1,0.2
Tony Allen,2017,1,1471382,99093000,0.014848495857426862,SG,35,MEM,71,3.9,8.4,0.461,0.2,0.8,0.278,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,9.1,0.493,0.091,0.218,17.9,0.2,2.9,-2,1.1
Luc Mbah a Moute,2017,1,1471382,99093000,0.014848495857426862,SF,30,LAC,80,2.4,4.7,0.505,0.5,1.4,0.391,0.7,1.1,0.678,0.6,1.6,2.1,0.5,1,0.4,0.6,6.1,0.581,0.291,0.23,11.6,1.3,1.8,-1.6,1.3
David West,2017,1,1471382,99093000,0.014848495857426862,C,36,GSW,68,2,3.7,0.536,0,0.1,0.375,0.6,0.8,0.768,0.7,2.3,3,2.2,0.6,0.7,1.1,4.6,0.571,0.032,0.222,17.9,0.9,1.7,-0.7,3.5
Jason Terry,2017,1,1471382,99093000,0.014848495857426862,SG,39,MIL,74,1.4,3.3,0.432,1,2.3,0.427,0.3,0.4,0.828,0.2,1.2,1.4,1.3,0.6,0.3,0.5,4.1,0.6,0.704,0.119,9.8,1.2,0.9,-1.4,0.5
Raymond Felton,2017,1,1471382,99093000,0.014848495857426862,PG,32,LAC,80,2.8,6.4,0.43,0.6,1.8,0.319,0.6,0.8,0.781,0.4,2.3,2.7,2.4,0.8,0.3,1,6.7,0.496,0.28,0.125,16.5,0.2,1.8,-2,0.7
Luke Babbitt,2017,1,1974159,99093000,0.019922285126093668,SF,27,MIA,68,1.7,4.1,0.402,1.3,3.1,0.414,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,4.8,0.563,0.747,0.053,13,0.8,1,-2,-0.1
Jeff Withey,2017,1,1577320,99093000,0.015917572381500208,C,26,UTA,51,1.1,2,0.534,0,0,0,0.7,0.9,0.75,1,1.4,2.4,0.1,0.3,0.6,0.3,2.9,0.588,0.01,0.466,14.9,1,0.9,-0.4,1.9
Tyler Zeller,2017,2,1709538,99093000,0.01725185431867034,C,27,BOS,51,1.5,3.1,0.494,0,0,0,0.4,0.8,0.564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,3.5,0.508,0.006,0.247,16.5,0.5,0.6,-2.2,-0.2
Andrew Bogut,2017,1,1105123,99093000,0.011152382105698687,C,32,TOT,27,1.4,3,0.469,0,0,0,0.1,0.4,0.273,2.1,6,8.1,1.8,0.5,0.9,1.6,2.9,0.46,0.012,0.136,10.4,-0.3,1,-5.2,2.6
Omri Casspi,2017,1,1471382,99093000,0.014848495857426862,PF,28,TOT,36,2.1,4.6,0.47,0.4,1.2,0.349,0.5,0.8,0.586,0.8,2.4,3.1,1,0.6,0.1,0.8,5.2,0.526,0.262,0.177,14.4,0.1,0.4,-2.6,-0.5
K.J. McDaniels,2017,1,100000,99093000,0.0010091530178721,SF,23,TOT,49,1.6,3.4,0.456,0.4,1.3,0.303,0.7,0.8,0.842,0.3,1.4,1.7,0.3,0.4,0.4,0.6,4.2,0.555,0.391,0.225,18.1,0,0.5,-2.5,0.1
Nick Collison,2017,1,2328652,99093000,0.02349966193373901,PF,36,OKC,20,0.7,1.2,0.609,0,0.1,0,0.3,0.4,0.625,0.5,1.1,1.6,0.6,0.1,0.1,0.2,1.7,0.622,0.043,0.348,10.1,0.3,0.1,-1.3,1.1
Tyler Ennis,2017,2,1524305,99093000,0.015382569909075314,PG,22,TOT,53,1.7,3.9,0.433,0.5,1.3,0.386,0.4,0.5,0.84,0.2,0.7,0.8,1.6,0.5,0,0.8,4.3,0.521,0.337,0.12,19.1,0.1,0.3,-2.4,-0.8
Udonis Haslem,2017,1,1471382,99093000,0.014848495857426862,C,36,MIA,16,0.7,1.4,0.478,0,0.2,0,0.6,0.9,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.9,0.524,0.13,0.652,12.8,0,0.2,-6.1,0.9
Bobby Brown,2017,1,1230186,99093000,0.012414459144440072,PG,32,HOU,25,0.9,2.4,0.383,0.6,1.4,0.4,0.1,0.1,1,0,0.2,0.2,0.6,0,0,0.2,2.5,0.509,0.583,0.033,22.7,0.1,0,-0.1,-3.5
Wayne Selden,2017,2,1312611,99093000,0.01324625351942115,SG,22,TOT,14,1.8,4.1,0.431,0.5,2,0.25,1,1.6,0.636,0.1,1.1,1.1,0.9,0.4,0.1,0.9,5.1,0.525,0.483,0.379,15.3,-0.1,0.2,-4.6,-1
Mike Scott,2017,1,1471382,99093000,0.014848495857426862,PF,28,ATL,18,0.9,3.3,0.288,0.2,1.5,0.148,0.4,0.4,0.875,0.6,1.5,2.1,0.9,0.2,0.2,0.4,2.5,0.36,0.458,0.136,15.8,-0.3,0.2,-4.7,-0.7
Mario Chalmers,2017,1,2106407,99093000,0.021256869809169163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shane Larkin,2017,1,1471382,99093000,0.014848495857426862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Miller,2017,2,2100000,99093000,0.021192213375314097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damien Wilkins,2017,1,1016617,99093000,0.010259221135700807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amir Johnson,2018,1,2393887,101869000,0.023499661329747026,C,30,PHI,74,1.9,3.5,0.538,0.1,0.4,0.313,0.7,1.1,0.612,1.7,2.8,4.5,1.6,0.6,0.6,0.7,4.6,0.575,0.123,0.327,12.8,2.1,2,-1.2,2.2
Jeff Green,2018,1,2393887,101869000,0.023499661329747026,PF,31,CLE,78,3.8,7.9,0.477,0.7,2.2,0.312,2.6,3,0.868,0.8,2.4,3.2,1.3,0.5,0.4,1,10.8,0.587,0.275,0.379,19.3,3.1,0.8,-0.3,-1.5
Jonas Jerebko,2018,1,2165481,101869000,0.021257507190607546,PF,30,UTA,74,2.1,4.6,0.466,0.9,2.1,0.414,0.6,0.8,0.807,0.7,2.6,3.3,0.6,0.3,0.2,0.4,5.8,0.586,0.46,0.167,15.6,1.8,1.6,-0.4,0.4
Zaza Pachulia,2018,1,2393887,101869000,0.023499661329747026,C,33,GSW,69,2.2,3.8,0.564,0,0,0,1.1,1.3,0.806,1.3,3.4,4.7,1.6,0.6,0.2,1,5.4,0.612,0.004,0.352,17,1.8,1.4,-0.7,0.7
Kevon Looney,2018,1,1567007,101869000,0.015382569770980377,C,21,GSW,66,1.7,2.9,0.58,0,0.1,0.2,0.6,1.2,0.545,1.3,2,3.3,0.6,0.5,0.8,0.5,4,0.588,0.026,0.399,12.4,1.5,1.3,-1.2,1
JaVale McGee,2018,1,2393887,101869000,0.023499661329747026,C,30,GSW,65,2.1,3.4,0.621,0,0.1,0,0.6,0.8,0.731,0.9,1.7,2.6,0.5,0.3,0.9,0.4,4.8,0.641,0.027,0.237,19.2,1.7,1.1,0.3,1.2
Salah Mejri,2018,1,2098196,101869000,0.020597002032021517,C,31,DAL,61,1.4,2.2,0.642,0,0,0,0.6,1.1,0.576,1.4,2.6,4,0.6,0.4,1.1,0.6,3.5,0.644,0.022,0.482,12.8,1.3,1.3,-2,2.8
Devin Harris,2018,1,2393887,101869000,0.023499661329747026,PG,34,TOT,71,2.6,6.4,0.412,1.1,3.2,0.348,2,2.4,0.835,0.2,1.6,1.8,2.1,0.7,0.2,1.1,8.4,0.563,0.5,0.374,20.2,1.6,0.9,-1.5,-0.3
David Nwaba,2018,1,1512601,101869000,0.01484849169030814,SG,25,CHI,70,2.9,6,0.478,0.3,0.7,0.346,1.9,2.9,0.655,1.3,3.4,4.7,1.5,0.8,0.4,1.1,7.9,0.542,0.123,0.48,15.6,1.1,1.4,-2.7,0.2
Omri Casspi,2018,1,2176260,101869000,0.02136331955747087,SF,29,GSW,53,2.3,3.9,0.58,0.2,0.4,0.455,0.9,1.3,0.725,0.6,3.2,3.8,1,0.3,0.4,0.7,5.7,0.632,0.106,0.333,16.3,1.2,1,-0.9,0
